,Argument,Attached_value,Document,Segment,Original_value,Node,Type
945,component_qty_value,"[['vitamin', 'c'], 0, 2]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods', 'figure']","[[['2', '(', '▵'], 19, 22]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
946,component_qty_value,"[['vitamin', 'c'], 0, 2]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods', 'figure']","[[['3', '(', '×'], 25, 28]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
608,impact_factor_component,"[['methyl', 'cellulose'], 11, 13]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['abstract'],"[['methyl', 'cellulose'], 11, 13]","['methyl_cellulose', 2, 'PrefLabel']",SYMBOLIC
613,impact_factor_component,"[['mc'], 40, 41]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['abstract'],"[['mc'], 40, 41]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
617,impact_factor_component,"[['vitamin', 'c'], 24, 26]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['abstract'],"[['vitamin', 'c'], 24, 26]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
625,impact_factor_component,"[['cellulose'], 9, 10]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['cellulose'], 9, 10]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
635,impact_factor_component,"[['methyl', 'cellulose'], 16, 18]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['methyl', 'cellulose'], 16, 18]","['methyl_cellulose', 2, 'PrefLabel']",SYMBOLIC
636,impact_factor_component,"[['mc'], 19, 20]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['mc'], 19, 20]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
637,impact_factor_component,"[['hydroxypropyl', 'methyl', 'cellulose'], 22, 25]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['hydroxypropyl', 'methyl', 'cellulose'], 22, 25]","['cellulose', 2, 'AcroFastrPref-1']",SYMBOLIC
639,impact_factor_component,"[['mc'], 18, 19]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['mc'], 18, 19]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
646,impact_factor_component,"[['corn', 'zein'], 17, 19]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['corn', 'zein'], 17, 19]","['corn_zein', 3, 'PrefLabel']",SYMBOLIC
647,impact_factor_component,"[['soy', 'protein'], 26, 28]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['soy', 'protein'], 26, 28]","['soy_protein', 2, 'PrefLabel']",SYMBOLIC
659,impact_factor_component,"[['soy', 'protein'], 12, 14]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['soy', 'protein'], 12, 14]","['soy_protein', 2, 'PrefLabel']",SYMBOLIC
664,impact_factor_component,"[['methyl', 'cellulose'], 14, 16]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['methyl', 'cellulose'], 14, 16]","['methyl_cellulose', 2, 'PrefLabel']",SYMBOLIC
666,impact_factor_component,"[['methyl', 'cellulose'], 8, 10]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['methyl', 'cellulose'], 8, 10]","['methyl_cellulose', 2, 'PrefLabel']",SYMBOLIC
670,impact_factor_component,"[['cellulose'], 34, 35]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction'],"[['cellulose'], 34, 35]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
679,impact_factor_component,"[['peg'], 14, 15]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Materials']","[['peg'], 14, 15]","['ethylene_glycol', 2, 'AcroPrefLabel-0']",SYMBOLIC
680,impact_factor_component,"[['polyethylene', 'glycol'], 11, 13]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Materials']","[['polyethylene', 'glycol'], 11, 13]","['ethylene_glycol', 2, 'AcroPrefLabel-1']",SYMBOLIC
681,impact_factor_component,"[['mc'], 0, 1]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Materials']","[['mc'], 0, 1]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
683,impact_factor_component,"[['water', 'was', 'distilled'], 5, 8]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Materials']","[['water', 'was', 'distilled'], 5, 8]","['distilled_water', 2, 'FastrPref']",SYMBOLIC
684,impact_factor_component,"[['ethanol'], 0, 1]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Materials']","[['ethanol'], 0, 1]","['ethanol', 2, 'PrefLabel']",SYMBOLIC
687,impact_factor_component,"[['solvent'], 7, 8]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[['solvent'], 7, 8]","['solvent', 1, 'PrefLabel']",SYMBOLIC
688,impact_factor_component,"[['ethanol'], 12, 13]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[['ethanol'], 12, 13]","['ethanol', 2, 'PrefLabel']",SYMBOLIC
689,impact_factor_component,"[['mc'], 0, 1]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[['mc'], 0, 1]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
696,impact_factor_component,"[['peg'], 6, 7]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Preparation of films']","[['peg'], 6, 7]","['ethylene_glycol', 2, 'AcroPrefLabel-0']",SYMBOLIC
713,impact_factor_component,"[['alkaline', 'iodide', 'solution'], 13, 16]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Measurement of the OP']","[['alkaline', 'iodide', 'solution'], 13, 16]","['alkaline_ammonia_solution', 2, 'FastrPref']",SYMBOLIC
729,impact_factor_component,"[['peg'], 24, 25]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['peg'], 24, 25]","['ethylene_glycol', 2, 'AcroPrefLabel-0']",SYMBOLIC
730,impact_factor_component,"[['mc'], 22, 23]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['mc'], 22, 23]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
746,impact_factor_component,"[['protein'], 16, 17]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['protein'], 16, 17]","['protein', 2, 'PrefLabel']",SYMBOLIC
749,impact_factor_component,"[['peg'], 23, 24]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['peg'], 23, 24]","['ethylene_glycol', 2, 'AcroPrefLabel-0']",SYMBOLIC
750,impact_factor_component,"[['mc'], 21, 22]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['mc'], 21, 22]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
769,impact_factor_component,"[['mc'], 11, 12]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['mc'], 11, 12]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
771,impact_factor_component,"[['mc'], 1, 2]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['mc'], 1, 2]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
773,impact_factor_component,"[['mc'], 6, 7]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['mc'], 6, 7]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
776,impact_factor_component,"[['mc'], 9, 10]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Comparison of the OP results obtained by the present method with those reported in literature']","[['mc'], 9, 10]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
781,impact_factor_component,"[['vitamin', 'c'], 8, 10]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Coating procedure']","[['vitamin', 'c'], 8, 10]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
786,impact_factor_component,"[['vitamin', 'c'], 31, 33]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Coating procedure']","[['vitamin', 'c'], 31, 33]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
799,impact_factor_component,"[['vitamin', 'c'], 3, 5]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Vitamin C determination']","[['vitamin', 'c'], 3, 5]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
810,impact_factor_component,"[['distilled', 'water'], 30, 32]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Materials and methods', 'Total phenol determination']","[['distilled', 'water'], 30, 32]","['distilled_water', 2, 'PrefLabel']",SYMBOLIC
817,impact_factor_component,"[['cellulose'], 19, 20]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']","[['cellulose'], 19, 20]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
823,impact_factor_component,"[['mc'], 14, 15]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']","[['mc'], 14, 15]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
830,impact_factor_component,"[['mc'], 23, 24]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']","[['mc'], 23, 24]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
841,impact_factor_component,"[['mc'], 14, 15]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']","[['mc'], 14, 15]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
844,impact_factor_component,"[['mc'], 24, 25]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']","[['mc'], 24, 25]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
851,impact_factor_component,"[['mc'], 20, 21]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA', 'table']","[['mc'], 20, 21]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
885,impact_factor_component,"[['mc'], 15, 16]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on water loss of fresh foods']","[['mc'], 15, 16]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
886,impact_factor_component,"[['mc'], 26, 27]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on water loss of fresh foods']","[['mc'], 26, 27]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
887,impact_factor_component,"[['mc'], 42, 43]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on water loss of fresh foods']","[['mc'], 42, 43]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
888,impact_factor_component,"[['mc'], 53, 54]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on water loss of fresh foods']","[['mc'], 53, 54]","['methyl_cellulose', 2, 'AltLabel']",SYMBOLIC
904,impact_factor_component,"[['vitamin', 'c'], 8, 10]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[['vitamin', 'c'], 8, 10]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
905,impact_factor_component,"[['vitamin', 'c'], 20, 22]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[['vitamin', 'c'], 20, 22]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
906,impact_factor_component,"[['vitamin', 'c'], 4, 6]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[['vitamin', 'c'], 4, 6]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
909,impact_factor_component,"[['vitamin', 'c'], 5, 7]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[['vitamin', 'c'], 5, 7]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
910,impact_factor_component,"[['vitamin', 'c'], 1, 3]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[['vitamin', 'c'], 1, 3]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
917,impact_factor_component,"[['vitamin', 'c'], 17, 19]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[['vitamin', 'c'], 17, 19]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
920,impact_factor_component,"[['vitamin', 'c'], 32, 34]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[['vitamin', 'c'], 32, 34]","['vitamin_c', 2, 'PrefLabel']",SYMBOLIC
921,impact_factor_component,"[['peg'], 24, 25]",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['Results and discussion', 'The effects of coating on vitamin C content, polyphenoloxidase activity and total phenol content of fresh foods']","[['peg'], 24, 25]","['ethylene_glycol', 2, 'AcroPrefLabel-0']",SYMBOLIC
