,Argument,Attached_value,Document,Segment,Original_value,Node,Type
1294,impact_factor_component,"[['polymers'], 3, 4]",Application of bioplastics for food packaging.xml,['Introduction'],"[['polymers'], 3, 4]","['polymer', 2, 'FastrPref']",SYMBOLIC
1295,impact_factor_component,"[['polymers'], 3, 4]",Application of bioplastics for food packaging.xml,['Introduction'],"[['polymers'], 3, 4]","['polymer', 2, 'FastrPref']",SYMBOLIC
1296,packaging,"[['packaging'], 15, 16]",Application of bioplastics for food packaging.xml,['Introduction'],"[['packaging'], 15, 16]","['packaging', 0, 'PrefLabel']",SYMBOLIC
1297,packaging,"[['packaging'], 28, 29]",Application of bioplastics for food packaging.xml,['Introduction'],"[['packaging'], 28, 29]","['packaging', 0, 'PrefLabel']",SYMBOLIC
1298,impact_factor_component,"[['bioplastics'], 25, 26]",Application of bioplastics for food packaging.xml,['Introduction'],"[['bioplastics'], 25, 26]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1299,impact_factor_component,"[['plastics'], 12, 13]",Application of bioplastics for food packaging.xml,['Introduction'],"[['plastics'], 12, 13]","['plasticiser', 2, 'FastrAlt']",SYMBOLIC
1300,impact_factor_component,"[['plastics'], 22, 23]",Application of bioplastics for food packaging.xml,['Introduction'],"[['plastics'], 22, 23]","['plasticiser', 2, 'FastrAlt']",SYMBOLIC
1301,impact_factor_component,"[['bioplastics'], 4, 5]",Application of bioplastics for food packaging.xml,['Introduction'],"[['bioplastics'], 4, 5]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1302,impact_factor_component,"[['bioplastics'], 7, 8]",Application of bioplastics for food packaging.xml,['Introduction'],"[['bioplastics'], 7, 8]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1303,packaging,"[['packaging'], 5, 6]",Application of bioplastics for food packaging.xml,['Introduction'],"[['packaging'], 5, 6]","['packaging', 0, 'PrefLabel']",SYMBOLIC
1304,impact_factor_component,"[['bioplastics'], 11, 12]",Application of bioplastics for food packaging.xml,['Introduction'],"[['bioplastics'], 11, 12]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1305,component_qty_value,"[['bioplastics'], 11, 12]",Application of bioplastics for food packaging.xml,['Introduction'],"[[['2010'], 26, 28]]","['component_qty_value', 0, 'PrefLabel']",ADDIMENTIONNAL
1306,packaging,"[['packaging'], 26, 27]",Application of bioplastics for food packaging.xml,['Introduction'],"[['packaging'], 26, 27]","['packaging', 0, 'PrefLabel']",SYMBOLIC
1307,impact_factor_component,"[['bioplastics'], 8, 9]",Application of bioplastics for food packaging.xml,['Introduction'],"[['bioplastics'], 8, 9]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1308,packaging,"[['packaging'], 18, 19]",Application of bioplastics for food packaging.xml,['Introduction'],"[['packaging'], 18, 19]","['packaging', 0, 'PrefLabel']",SYMBOLIC
1309,packaging,"[['biobased', 'films'], 6, 8]",Application of bioplastics for food packaging.xml,['Introduction'],"[['biobased', 'films'], 6, 8]","['biobased_packaging', 3, 'AltLabel']",SYMBOLIC
1310,packaging,"[['pe'], 17, 18]",Application of bioplastics for food packaging.xml,['Introduction'],"[['pe'], 17, 18]","['polyethersulfone', 3, 'FastrAlt']",SYMBOLIC
1311,packaging,"[['pe'], 43, 44]",Application of bioplastics for food packaging.xml,['Introduction'],"[['pe'], 43, 44]","['polyethersulfone', 3, 'FastrAlt']",SYMBOLIC
1312,packaging,"[['pet'], 22, 23]",Application of bioplastics for food packaging.xml,['Introduction'],"[['pet'], 22, 23]","['polyethylene_terephthalate', 3, 'AltLabel']",SYMBOLIC
1313,packaging,"[['pet'], 45, 46]",Application of bioplastics for food packaging.xml,['Introduction'],"[['pet'], 45, 46]","['polyethylene_terephthalate', 3, 'AltLabel']",SYMBOLIC
1314,impact_factor_component,"[['pet'], 22, 23]",Application of bioplastics for food packaging.xml,['Introduction'],"[['pet'], 22, 23]","['tio2', 2, 'AcroPrefLabel-0']",SYMBOLIC
1315,impact_factor_component,"[['pet'], 45, 46]",Application of bioplastics for food packaging.xml,['Introduction'],"[['pet'], 45, 46]","['tio2', 2, 'AcroPrefLabel-0']",SYMBOLIC
1316,impact_factor_component,"[['pe'], 17, 18]",Application of bioplastics for food packaging.xml,['Introduction'],"[['pe'], 17, 18]","['polyethersulfone', 2, 'FastrAlt']",SYMBOLIC
1317,impact_factor_component,"[['pe'], 43, 44]",Application of bioplastics for food packaging.xml,['Introduction'],"[['pe'], 43, 44]","['polyethersulfone', 2, 'FastrAlt']",SYMBOLIC
1318,impact_factor_component,"[['bioplastics'], 4, 5]",Application of bioplastics for food packaging.xml,['Introduction'],"[['bioplastics'], 4, 5]","['bioplastics', 2, 'PrefLabel']",SYMBOLIC
1319,impact_factor_component,"[['polyethylene'], 15, 16]",Application of bioplastics for food packaging.xml,['Introduction'],"[['polyethylene'], 15, 16]","['polyethylene', 2, 'PrefLabel']",SYMBOLIC
1320,packaging,"[['ldpe'], 36, 37]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['ldpe'], 36, 37]","['polyethylene_films', 3, 'AcroFastrPref-0']",SYMBOLIC
1321,packaging,"[['thermoplastic', 'polyester'], 9, 11]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['thermoplastic', 'polyester'], 9, 11]","['thermoplastic_polyester', 3, 'PrefLabel']",SYMBOLIC
1322,packaging,"[['polylactide'], 2, 3]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['polylactide'], 2, 3]","['polylactide', 3, 'PrefLabel']",SYMBOLIC
1323,packaging,"[['pla'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['pla'], 0, 1]","['poly_45_lactic_acid', 3, 'AltLabel']",SYMBOLIC
1324,packaging,"[['hdpe'], 42, 43]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['hdpe'], 42, 43]","['high_density_polyethylene', 3, 'AltLabel']",SYMBOLIC
1325,packaging,"[['polystyrene'], 45, 46]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['polystyrene'], 45, 46]","['polystyrene', 3, 'PrefLabel']",SYMBOLIC
1326,packaging,"[['ps'], 47, 48]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['ps'], 47, 48]","['polystyrene', 3, 'AltLabel']",SYMBOLIC
1327,packaging,"[['pet'], 52, 53]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['pet'], 52, 53]","['polyethylene_terephthalate', 3, 'AltLabel']",SYMBOLIC
1328,impact_factor_component,"[['pet'], 52, 53]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['pet'], 52, 53]","['tio2', 2, 'AcroPrefLabel-0']",SYMBOLIC
1329,impact_factor_component,"[['polymers'], 25, 26]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['polymers'], 25, 26]","['polymer', 2, 'FastrPref']",SYMBOLIC
1330,impact_factor_component,"[['ldpe'], 36, 37]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['ldpe'], 36, 37]","['polyethylene', 2, 'AcroFastrPref-0']",SYMBOLIC
1331,impact_factor_component,"[['low-density', 'polyethylene'], 33, 35]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['low-density', 'polyethylene'], 33, 35]","['polyethylene', 2, 'AcroFastrPref-1']",SYMBOLIC
1332,impact_factor_component,"[['hdpe'], 42, 43]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['hdpe'], 42, 43]","['polyethylene', 2, 'AcroFastrPref-0']",SYMBOLIC
1333,impact_factor_component,"[['high-density', 'polyethylene'], 39, 41]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['high-density', 'polyethylene'], 39, 41]","['high_45_density_polyethylene', 2, 'PrefLabel']",SYMBOLIC
1334,packaging,"[['pla', 'pellets'], 16, 18]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['pla', 'pellets'], 16, 18]","['pla_pellets', 4, 'PrefLabel']",SYMBOLIC
1335,impact_factor_component,"[['polymerization'], 12, 13]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['polymerization'], 12, 13]","['polymerization', 3, 'PrefLabel']",SYMBOLIC
1336,packaging,"[['compositions'], 20, 21]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['compositions'], 20, 21]","['composites', 1, 'FastrPref']",SYMBOLIC
1337,packaging,"[['composition'], 2, 3]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['composition'], 2, 3]","['composites', 1, 'FastrPref']",SYMBOLIC
1338,impact_factor_component,"[['polymer'], 9, 10]",Application of bioplastics for food packaging.xml,"['Materials', 'PLA']","[['polymer'], 9, 10]","['polymer', 2, 'PrefLabel']",SYMBOLIC
1339,packaging,"[['starch'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['starch'], 0, 1]","['starch', 3, 'PrefLabel']",SYMBOLIC
1340,packaging,"[['starch-based', 'film'], 6, 8]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['starch-based', 'film'], 6, 8]","['starch_films', 3, 'AltLabel']",SYMBOLIC
1341,impact_factor_component,"[['sorbitol'], 18, 19]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['sorbitol'], 18, 19]","['sorbitol', 2, 'PrefLabel']",SYMBOLIC
1342,impact_factor_component,"[['plastic'], 3, 4]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['plastic'], 3, 4]","['plasticiser', 2, 'FastrAlt']",SYMBOLIC
1343,impact_factor_component,"[['plasticizers'], 14, 15]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['plasticizers'], 14, 15]","['plasticiser', 2, 'FastrAlt']",SYMBOLIC
1344,impact_factor_component,"[['glycerol'], 16, 17]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['glycerol'], 16, 17]","['glycerol', 2, 'PrefLabel']",SYMBOLIC
1345,packaging,"[['tps'], 16, 17]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['tps'], 16, 17]","['thermoplastic', 1, 'AcroFastrPref-0']",SYMBOLIC
1346,packaging,"[['thermoplastic', 'starch'], 13, 15]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['thermoplastic', 'starch'], 13, 15]","['thermoplastic', 1, 'AcroFastrPref-1']",SYMBOLIC
1347,packaging,"[['polystyrene'], 23, 24]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['polystyrene'], 23, 24]","['polystyrene', 3, 'PrefLabel']",SYMBOLIC
1348,packaging,"[['ps'], 25, 26]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['ps'], 25, 26]","['polystyrene', 3, 'AltLabel']",SYMBOLIC
1349,impact_factor_component,"[['plasticized'], 1, 2]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['plasticized'], 1, 2]","['plasticiser', 2, 'FastrAlt']",SYMBOLIC
1350,impact_factor_component,"[['tps'], 16, 17]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['tps'], 16, 17]","['plasticiser', 2, 'AcroFastrAlt-0']",SYMBOLIC
1351,impact_factor_component,"[['thermoplastic', 'starch'], 13, 15]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['thermoplastic', 'starch'], 13, 15]","['plasticiser', 2, 'AcroFastrAlt-1']",SYMBOLIC
1352,packaging,"[['biodegradable', 'polymer'], 13, 15]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['biodegradable', 'polymer'], 13, 15]","['biodegradable_polymers', 3, 'FastrPref']",SYMBOLIC
1353,packaging,"[['thermoplastic'], 3, 4]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['thermoplastic'], 3, 4]","['thermoplastic', 1, 'PrefLabel']",SYMBOLIC
1354,packaging,"[['tps'], 9, 10]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['tps'], 9, 10]","['thermoplastic', 1, 'AcroFastrPref-0']",SYMBOLIC
1355,packaging,"[['polyvinyl', 'alcohol'], 25, 27]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['polyvinyl', 'alcohol'], 25, 27]","['polyvinyl_alcohol', 2, 'PrefLabel']",SYMBOLIC
1356,packaging,"[['polycaprolactone'], 18, 19]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['polycaprolactone'], 18, 19]","['polycaprolactones', 3, 'FastrPref']",SYMBOLIC
1357,packaging,"[['starch'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['starch'], 0, 1]","['starch', 3, 'PrefLabel']",SYMBOLIC
1358,packaging,"[['blends'], 7, 8]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['blends'], 7, 8]","['blend', 1, 'FastrPref']",SYMBOLIC
1359,impact_factor_component,"[['components'], 15, 16]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['components'], 15, 16]","['component', 1, 'FastrPref']",SYMBOLIC
1360,impact_factor_component,"[['polymer'], 14, 15]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['polymer'], 14, 15]","['polymer', 2, 'PrefLabel']",SYMBOLIC
1361,impact_factor_component,"[['tps'], 9, 10]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['tps'], 9, 10]","['plasticiser', 2, 'AcroFastrAlt-0']",SYMBOLIC
1362,impact_factor_component,"[['polyethylene'], 20, 21]",Application of bioplastics for food packaging.xml,"['Materials', 'Starch']","[['polyethylene'], 20, 21]","['polyethylene', 2, 'PrefLabel']",SYMBOLIC
1363,packaging,"[['polyhydroxyalkanoates'], 1, 2]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['polyhydroxyalkanoates'], 1, 2]","['polyhydroxyalkanoates', 3, 'PrefLabel']",SYMBOLIC
1364,packaging,"[['biodegradable', 'thermoplastic', 'polymers'], 7, 10]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['biodegradable', 'thermoplastic', 'polymers'], 7, 10]","['biodegradable_thermoplastic_polymers', 3, 'PrefLabel']",SYMBOLIC
1365,packaging,"[['pha'], 3, 4]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['pha'], 3, 4]","['polyhydroxyalcanoate', 3, 'AltLabel']",SYMBOLIC
1366,impact_factor_component,"[['polymers'], 9, 10]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['polymers'], 9, 10]","['polymer', 2, 'FastrPref']",SYMBOLIC
1367,impact_factor_component,"[['solvents'], 17, 18]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['solvents'], 17, 18]","['solvent', 1, 'FastrPref']",SYMBOLIC
1368,impact_factor_component,"[['chloroform'], 20, 21]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['chloroform'], 20, 21]","['chloroform', 2, 'PrefLabel']",SYMBOLIC
1369,impact_factor_component,"[['methylene', 'chloride'], 22, 24]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['methylene', 'chloride'], 22, 24]","['methylene_chloride', 2, 'PrefLabel']",SYMBOLIC
1370,impact_factor_component,"[['polymer'], 1, 2]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['polymer'], 1, 2]","['polymer', 2, 'PrefLabel']",SYMBOLIC
1371,packaging,"[['composites'], 4, 5]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['composites'], 4, 5]","['composites', 1, 'PrefLabel']",SYMBOLIC
1372,packaging,"[['pha'], 3, 4]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['pha'], 3, 4]","['polyhydroxyalcanoate', 3, 'AltLabel']",SYMBOLIC
1373,packaging,"[['polyhydroxybutyrate'], 10, 11]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['polyhydroxybutyrate'], 10, 11]","['polyhydroxybutyrate', 3, 'PrefLabel']",SYMBOLIC
1374,packaging,"[['phb'], 12, 13]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['phb'], 12, 13]","['polyhydroxybutyrate', 3, 'AltLabel']",SYMBOLIC
1375,packaging,"[['phas'], 1, 2]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['phas'], 1, 2]","['polyhydroxyalcanoate', 3, 'FastrAlt']",SYMBOLIC
1376,impact_factor_component,"[['polymers'], 10, 11]",Application of bioplastics for food packaging.xml,"['Materials', 'PHA']","[['polymers'], 10, 11]","['polymer', 2, 'FastrPref']",SYMBOLIC
1377,packaging,"[['cellulose'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 0, 1]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1378,impact_factor_component,"[['polymer'], 7, 8]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['polymer'], 7, 8]","['polymer', 2, 'PrefLabel']",SYMBOLIC
1379,impact_factor_component,"[['cellulose'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 0, 1]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1380,packaging,"[['cellulose'], 20, 21]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 20, 21]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1381,packaging,"[['cellophane', 'film'], 35, 37]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellophane', 'film'], 35, 37]","['cellophane_film', 3, 'PrefLabel']",SYMBOLIC
1382,packaging,"[['polysaccharide'], 4, 5]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['polysaccharide'], 4, 5]","['polysaccharides', 2, 'FastrPref']",SYMBOLIC
1383,impact_factor_component,"[['cellulose'], 20, 21]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 20, 21]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1384,packaging,"[['cellulose'], 2, 3]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 2, 3]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1385,packaging,"[['cellulose'], 10, 11]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 10, 11]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1386,impact_factor_component,"[['hydroxyl'], 21, 22]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['hydroxyl'], 21, 22]","['hydroxyl', 2, 'PrefLabel']",SYMBOLIC
1387,impact_factor_component,"[['cellulose'], 2, 3]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 2, 3]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1388,impact_factor_component,"[['cellulose'], 10, 11]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 10, 11]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1389,packaging,"[['cellulose'], 2, 3]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 2, 3]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1390,impact_factor_component,"[['cellulose'], 2, 3]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 2, 3]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1391,packaging,"[['cellulose'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 0, 1]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1392,packaging,"[['cellulose'], 3, 4]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 3, 4]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1393,packaging,"[['cellulose'], 7, 8]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 7, 8]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1394,packaging,"[['thermoplastic'], 16, 17]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['thermoplastic'], 16, 17]","['thermoplastic', 1, 'PrefLabel']",SYMBOLIC
1395,impact_factor_component,"[['cellulose'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 0, 1]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1396,impact_factor_component,"[['cellulose'], 3, 4]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 3, 4]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1397,impact_factor_component,"[['cellulose'], 7, 8]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 7, 8]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1398,packaging,"[['methyl', 'cellulose'], 6, 8]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['methyl', 'cellulose'], 6, 8]","['methyl_cellulose', 3, 'PrefLabel']",SYMBOLIC
1399,packaging,"[['cellulose', 'and', 'methyl'], 4, 7]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose', 'and', 'methyl'], 4, 7]","['methyl_cellulose', 3, 'FastrPref']",SYMBOLIC
1400,packaging,"[['cellulose'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 0, 1]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1401,packaging,"[['cellulose'], 16, 17]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 16, 17]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1402,packaging,"[['cellulose'], 19, 20]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 19, 20]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1403,impact_factor_component,"[['methyl', 'cellulose'], 6, 8]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['methyl', 'cellulose'], 6, 8]","['methyl_cellulose', 2, 'PrefLabel']",SYMBOLIC
1404,impact_factor_component,"[['cellulose', 'and', 'methyl'], 4, 7]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose', 'and', 'methyl'], 4, 7]","['methyl_cellulose', 2, 'FastrPref']",SYMBOLIC
1405,impact_factor_component,"[['cellulose'], 0, 1]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 0, 1]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1406,impact_factor_component,"[['cellulose'], 16, 17]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 16, 17]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1407,impact_factor_component,"[['cellulose'], 19, 20]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 19, 20]","['cellulose', 2, 'PrefLabel']",SYMBOLIC
1408,packaging,"[['cellulose'], 1, 2]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['cellulose'], 1, 2]","['cellulose', 3, 'PrefLabel']",SYMBOLIC
1409,impact_factor_component,"[['polymers'], 17, 18]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['polymers'], 17, 18]","['polymer', 2, 'FastrPref']",SYMBOLIC
1410,impact_factor_component,"[['plasticizers'], 14, 15]",Application of bioplastics for food packaging.xml,"['Materials', 'Cellulose']","[['plasticizers'], 14, 15]","['plasticiser', 2, 'FastrAlt']",SYMBOLIC
