,Attachment,Document,Argument,Span,Category
10,"['Water', 'vapour', 'permeability']",Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['1.27', '±', '0.06', '×', '10', '^', '−', '11'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
11,"['water', 'vapour', 'permeability']",Suitability of novel galactomannans as edible coatings for tropical fruits,permeability,"(['6.25', '±', '0.20', '×', '10', '^', '−', '11'], ['g', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
12,"['water', 'vapor', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['15.6', '×', '10', '^', '−', '3', '±', '0.7', '×', '10', '^', '−', '3'], ['ng', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
13,"['oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['12.3', '×', '10', '^', '−', '3', '±', '0.5', '×', '10', '^', '−', '3'], ['ng', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
14,['OP'],"Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['13.8', '×', '10', '^', '−', '3', '±', '1.0', '×', '10', '^', '−', '3'], ['ng', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
15,"['water', 'vapor', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['31.2', '×', '10', '^', '−', '3', '±', '1.6', '×', '10', '^', '−', '3'], ['ng', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
16,"['water', 'vapor', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['12.4', '×', '10', '^', '−', '3', '±', '0.1', '×', '10', '^', '−', '3'], ['ng', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
17,"['oxygen', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['13.1', '×', '10', '^', '−', '3', '±', '0.9', '×', '10', '^', '−', '3'], ['ng', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
18,"['water', 'vapor', 'permeability']","Effect of clay content, homogenization RPM, pH, and ultrasonication on mechanical and barrier properties of fish gelatin montmorillonite nanocomposite films",permeability,"(['8.1', '×', '10', '^', '−', '3', '±', '0.1', '×', '10', '^', '−', '3'], ['ng', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
19,"['O2', 'permeation']",Gas permeation properties of poly(lactic acid),permeability,"(['0.04', '(', '10', '^', '−', '10'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cmHg', ')'])",QUANTITY
20,"['CO2', 'permeation']",Gas permeation properties of poly(lactic acid),permeability,"(['0.2', '(', '10', '^', '−', '10'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cmHg', ')'])",QUANTITY
21,"['carbon', 'dioxide', 'permeability']",Suitability of novel galactomannans as edible coatings for tropical fruits,permeability,"(['61.19', '±', '1.44', '×', '10', '^', '−', '15'], ['g', 'm', '(', 'Pa', 's', 'm', '^', '2', ')', '^', '−', '1'])",QUANTITY
22,"['oxygen', 'permeability']",Suitability of novel galactomannans as edible coatings for tropical fruits,permeability,"(['0.99', '±', '0.13', '×', '10', '^', '−', '15'], ['g', 'm', '(', 'Pa', 's', 'm', '^', '2', ')', '^', '−', '1'])",QUANTITY
23,,Combined effects of cellulose nanocrystals and silver nanoparticles on the barrier and migration properties of PLA nano-biocomposites,impact_factor_component,"['Poly', '(', 'lactic', 'acid', ')', '(', 'PLA', ')', '-', 'based', 'high', 'performance', 'nano-biocomposites']",SYMBOLIC
24,"['carbon', 'dioxide', 'permeation']",Gas permeation properties of poly(lactic acid),permeability,"(['1.2', '(', '10', '^', '−', '10'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cmHg'])",QUANTITY
25,"['CO2', 'permeability', '\xa0']",Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['4', '0', '×', '10', '^', '−', '16'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
26,"['O2', 'permeability', '\xa0']",Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['1', '0', '×', '10', '^', '−', '17'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
27,"['CO2', 'permeability']",Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['4', '0', '×', '10', '^', '−', '17'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
28,"['CO2', 'permeability']",Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['4', '0', '×', '10', '^', '−', '15'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
29,['CO2'],Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['27,242', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",QUANTITY
30,['CO2'],Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['67,790', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",QUANTITY
31,"['O2', 'permeability']",Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['1', '0', '×', '10', '^', '−', '16'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
32,"['O2', 'permeability']",Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['1', '0', '×', '10', '^', '−', '15'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
33,['O2'],Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['27,242', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",QUANTITY
34,['O2'],Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['1.24', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",QUANTITY
35,"['O2', 'permeability']",Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['2160', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",QUANTITY
36,['O2'],Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['8512', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",QUANTITY
37,"['CO2', 'permeability']",Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,permeability,"(['7.4', '×', '10', '^', '−', '18'], ['mol', 'm', '^', '−', '1', 'Pa', '^', '−', '1', 's', '^', '−', '1'])",QUANTITY
38,"['O2', 'permeability']",Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['1.0', '×', '10', '^', '−', '16'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
39,"['CO2', 'permeability']",Validation of a predictive model coupling gas transfer and microbial growth in fresh food packed under modified atmosphere,permeability,"(['4', '×', '10', '^', '−', '16'], ['mol', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
40,['WVP'],Suitability of novel galactomannans as edible coatings for tropical fruits,permeability,"(['1.8', '(', '10', '^', '−', '11'], ['g', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
41,['OP-value'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['0.16', '×', '10', '^', '−', '5'], ['cm', '^', '3', 'mm', '/', '(', 'day', 'm', '^', '2', 'atm', ')'])",QUANTITY
42,['WVP'],Suitability of novel galactomannans as edible coatings for tropical fruits,permeability,"(['8.7', '(', '10', '^', '−', '11'], ['g', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa', '^', '−', '1'])",QUANTITY
43,"['oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['934.6', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
44,"['oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['1.43', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
45,"['oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['0.15', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
46,"['Oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['0.31', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
47,"['Oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['0.12', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
48,"['Oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['1.45', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
49,"['Oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['0.37', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
50,"['oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['4.3', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
51,"['oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['200', '×', '10', '^', '−', '16'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
52,"['oxygen', 'barrier', 'properties']",Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,permeability,"(['216.44', '×', '10', '^', '−', '18'], ['m', '^', '3', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
53,"['oxygen', 'barrier', 'properties']",Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,permeability,"(['49.42', '×', '10', '^', '−', '18'], ['m', '^', '3', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
54,['permeability'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'], ['carbon', 'dioxide'])",QUANTITY
55,"['oxygen', 'barrier', 'properties']",Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,permeability,"(['3.51', '×', '10', '^', '−', '18'], ['m', '^', '3', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
56,['OP'],Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,permeability,"(['0.81', '×', '10', '^', '−', '18'], ['m', '^', '3', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
57,['OP'],Edible oxygen barrier bilayer film pouches from corn zein and soy protein isolate for olive oil packaging,permeability,"(['0.60', '×', '10', '^', '−', '18'], ['m', '^', '3', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
58,"['CO2', 'permeation']",Gas permeation properties of poly(lactic acid),permeability,"(['10.2'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cmHg', ')'])",QUANTITY
59,['WVPs'],Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,permeability,"(['1.88', '×', '10', '^', '−', '10'], ['g', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa'])",QUANTITY
60,"['moisture-barrier', 'properties']",Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,permeability,"(['0.84', '×', '10', '^', '−', '10'], ['g', 'm', '^', '−', '1', 's', '^', '−', '1', 'Pa'])",QUANTITY
61,"['O2', 'permeation']",Gas permeation properties of poly(lactic acid),permeability,"(['3.3'], ['cm', '^', '3', '(', 'STP', ')', 'cm', '/', 'cm', '^', '2', 's', 'cmHg', ')'])",QUANTITY
62,['OTR'],Application of bioplastics for food packaging,permeability,"(['420'], ['cm', '^', '3', '/', 'm', '^', '2', '/', '10', '^', '5', 'Pa', '/', 'day'])",QUANTITY
63,['OTR'],Application of bioplastics for food packaging,permeability,"(['400'], ['cm', '^', '3', '/', 'm', '^', '2', '/', '10', '^', '5', 'Pa', '/', 'day'])",QUANTITY
64,['OTR'],Application of bioplastics for food packaging,permeability,"(['12'], ['cm', '^', '3', '/', 'm', '^', '2', '/', '10', '^', '5', 'Pa', '/', 'day'])",QUANTITY
65,,Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,packaging,"['biodegradable', 'bio-based', 'equilibrium', 'modified', 'atmosphere', 'packaging']",SYMBOLIC
66,['OTR'],Application of bioplastics for food packaging,permeability,"(['2'], ['cm', '^', '3', '/', 'm', '^', '2', '/', '10', '^', '5', 'Pa', '/', 'day'])",QUANTITY
67,['CO2'],Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,permeability,"(['2.0', '×', '10', '^', '−', '7'], ['kg', 'm', '^', '−', '2', 's', '^', '−', '1'])",QUANTITY
68,['WV'],Design of biodegradable bio-based equilibrium modified atmosphere packaging (EMAP) for fresh fruits and vegetables by using micro-perforated poly-lactic acid (PLA) films,permeability,"(['6.4', '×', '10', '^', '−', '5'], ['kg', 'm', '^', '−', '2', 's', '^', '−', '1'])",QUANTITY
69,['WVP'],Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,permeability,"(['7.1', '×', '10', '^', '−', '4'], ['g', 'mm', '/', 'kPa', 'min', 'm', '^', '2'])",QUANTITY
70,['OP'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['1.6'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', '24', 'h', 'atm', ')'])",QUANTITY
71,['WVTR'],Barrier properties of chitosan coated polyethylene,permeability,"(['2.55', '±', '0.39', '×', '10', '^', '−', '5'], ['g', '/', 'm', '^', '2', 's'])",QUANTITY
72,['WVTR'],Barrier properties of chitosan coated polyethylene,permeability,"(['0.55', '±', '0.05', '×', '10', '^', '−', '5'], ['g', '/', 'm', '^', '2', 's'])",QUANTITY
73,['WVTR'],Barrier properties of chitosan coated polyethylene,permeability,"(['1.84', '±', '0.08', '×', '10', '^', '−', '5'], ['g', '/', 'm', '^', '2', 's'])",QUANTITY
74,['WVP'],Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,permeability,"(['0.93', '×', '10', '^', '−', '10'], ['g', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
75,['WVP'],Soluble soybean polysaccharide A new carbohydrate to make a biodegradable film for sustainable green packaging,permeability,"(['3.28', '×', '10', '^', '−', '10'], ['g', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
76,['WVP'],"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",permeability,"(['4.66', '×', '10', '^', '−', '11'], ['g', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
77,['WVP'],"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",permeability,"(['2.61', '×', '10', '^', '−', '11'], ['g', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
78,"['Oxygen', 'permeability']",Antiplasticisation and oxygen permeability of starch–sorbitol films,permeability,"(['10', '^', '−', '12'], ['cm', '^', '3', 'cm', '/', 'cm', '^', '2', 's', 'Pa'])",QUANTITY
79,['WVP'],"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",permeability,"(['1.8', '×', '10', '^', '−', '11'], ['g', 'm', '/', 'm', '^', '2', 's', 'Pa'])",QUANTITY
80,['WVP'],Barrier properties of chitosan coated polyethylene,permeability,"(['7.1', '×', '10', '^', '−', '13'], ['g', 'm', '/', 'm', '^', '2', 'Pa', 's'])",QUANTITY
81,['WVP'],Barrier properties of chitosan coated polyethylene,permeability,"(['6.5', '×', '10', '^', '−', '13'], ['g', 'm', '/', 'm', '^', '2', 'Pa', 's'])",QUANTITY
82,"['carbon', 'dioxide']",Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['0.001'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",QUANTITY
83,"['carbon', 'dioxide']",Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['3400'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",QUANTITY
84,['OP-values'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['0.01'], ['cm', '^', '3', 'mm', '/', '(', 'day', 'm', '^', '2', 'atm', ')'])",QUANTITY
85,['OP-values'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['0.7'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",QUANTITY
86,['OP-values'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['1.8'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",QUANTITY
87,['permeability'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['490'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",QUANTITY
88,"['carbon', 'dioxide']",Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['10'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",QUANTITY
89,['permeability'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['71'], ['cm', '^', '3', 'mm', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",QUANTITY
90,,Morphology and properties of poly(methyl methacrylate) clay nanocomposites by in-situ solution polymerization,packaging,"['poly', '(', 'methyl', 'methacrylate', ')', '/', 'clay', 'nanocomposites']",SYMBOLIC
91,['OP-values'],Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['2'], ['cm', '^', '3', 'mm', '/', '(', 'day', 'm', '^', '2', 'atm', ')'])",QUANTITY
92,"['carbon', 'dioxide']",Barrier and surface properties of chitosan-coated greaseproof paper,permeability,"(['40,000'], ['cm', '^', '3', '/', '(', 'm', '^', '2', 'atm', 'day', ')'])",QUANTITY
93,['WVTR'],Exploring the potentialities of using lignocellulosic fibres derived from three food by-products as constituents of biocomposites for food packaging,permeability,"(['32.2', '±', '2.6'], ['g', 'm', '^', '−', '2', 'day', '^', '−', '1'])",QUANTITY
94,['WVTR'],Exploring the potentialities of using lignocellulosic fibres derived from three food by-products as constituents of biocomposites for food packaging,permeability,"(['9.9', '±', '2.5'], ['g', 'm', '^', '−', '2', 'day', '^', '−', '1'])",QUANTITY
95,['WVTR'],Exploring the potentialities of using lignocellulosic fibres derived from three food by-products as constituents of biocomposites for food packaging,permeability,"(['3.9', '±', '1.5'], ['g', 'm', '^', '−', '2', 'day', '^', '−', '1'])",QUANTITY
96,,Gas barrier properties of nanocomposites based on in situ polymerized poly(n-butyl methacrylate) in the presence of surface modified montmorillonite,packaging,"['pristine', 'poly', '(', 'n-butyl', 'methacrylate', ')', 'membrane']",SYMBOLIC
97,['OTR'],Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,permeability,"(['0.0639'], ['cm', '^', '3', 'm', '/', 'm', '^', '2', 'day', 'kPa'])",QUANTITY
98,['OTR'],Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,permeability,"(['0.0234'], ['cm', '^', '3', 'm', '/', 'm', '^', '2', 'day', 'kPa'])",QUANTITY
99,,Morphology and properties of poly(methyl methacrylate) clay nanocomposites by in-situ solution polymerization,packaging,"['Poly', '(', 'methyl', 'metacrylate', ')', '/', 'montmorillonite']",SYMBOLIC
100,['WVP'],"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",permeability,"(['0.0022', '×', '10', '^', '−', '10'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
101,['WVP'],"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",permeability,"(['0.0087', '×', '10', '^', '−', '10'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
102,"['oxygen', 'permeation']",Gas permeation and mechanical properties of polypropylene nanocomposites with thermally-stable imidazolium modified clay,permeability,"(['89'], ['cm', '^', '3', 'μm', '/', 'm', '^', '2', 'day', 'mmHg'])",QUANTITY
103,"['oxygen', 'permeation']",Gas permeation and mechanical properties of polypropylene nanocomposites with thermally-stable imidazolium modified clay,permeability,"(['48'], ['cm', '^', '3', 'μm', '/', 'm', '^', '2', 'day', 'mmHg'])",QUANTITY
104,['OTR'],Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,permeability,"(['3.2'], ['cm', '^', '3', 'm', '/', 'm', '^', '2', 'day', 'kPa'])",QUANTITY
105,['WVP'],Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,permeability,"(['7.6', '×', '10', '^', '−', '2'], ['g', '/', 'm', 'day', 'atm'])",QUANTITY
106,['WVP'],"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",permeability,"(['1.160', '×', '10', '^', '−', '10'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
107,['WVP'],"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",permeability,"(['0.232', '×', '10', '^', '−', '10'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
108,['WVP'],Barrier properties of chitosan coated polyethylene,permeability,"(['611.0', '×', '10', '^', '−', '13'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
109,['WVP'],Barrier properties of chitosan coated polyethylene,permeability,"(['14.92', '×', '10', '^', '−', '13'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
110,['WVP'],Barrier properties of chitosan coated polyethylene,permeability,"(['0.042', '×', '10', '^', '−', '10'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
111,['WVP'],"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",permeability,"(['0.87', '×', '10', '^', '−', '10'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
112,['WVP'],Barrier properties of chitosan coated polyethylene,permeability,"(['0.50', '×', '10', '^', '−', '10'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
113,['WVP'],"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",permeability,"(['1.47', '×', '10', '^', '−', '10'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
114,['PO2'],Barrier properties of chitosan coated polyethylene,permeability,"(['2.66', '×', '10', '^', '−', '17'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
115,['PO2'],Barrier properties of chitosan coated polyethylene,permeability,"(['2.08', '×', '10', '^', '−', '18'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
116,['PO2'],Barrier properties of chitosan coated polyethylene,permeability,"(['6.18', '×', '10', '^', '−', '17'], ['g', '/', 'm', 's', 'Pa'])",QUANTITY
