,Document,Info,Text
16,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Experimental', 'Gas permeation experiment']"," Gas permeation experiment was conducted in a cell which is divided into two parts by a membrane with the effective diameter 52 mm (membrane area = 21.2 cm^2). The schematic drawing of apparatus has been presented in details elsewhere [29]. A constant pressure p1 was maintained at the feed side (2 bar), while a vacuum was set at the permeate side (volume V2) in the beginning of experiment. Then, the increase of permeate pressure p2 with time was recorded. The gas accumulation in the membrane was neglected. Transport of CO2 or CH4 through the prepared membrane was investigated at room temperature. The gas flux was evaluated by the following equation:(1)J=V2ARTdp2dt The permeability was calculated as(2)Permeability=JLp1-p2=Lp1-p2V2ARTdp2dtfrom the slope of the steady-state line [24]. Finally, the ideal CO2 / CH4 selectivity was decided by CO2 permeability / CH4 permeability. "
17,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Characterization of PES/MMT and PES/TiO2 membranes']"," The properties of PES / MMT and PES / TiO2 MMMs are listed in Table 1. The MMM thickness values (21-27 μm for PES / MMT MMMs and 20-23 μm for PES / TiO2 MMMs) are very close to that of pristine PES membrane. Thereby, membrane thickness would not be a factor affecting the gas permeation performance in this study. Fig. 1 presents the TGA results. Compared to the pure PES membrane, the TGA curves for PES / inorganic filler MMMs shifted toward a higher temperature. The T5% (temperature for 5% weight loss) values are listed in Table 1. All the MMMs had higher T5% than the pure PES membrane, indicating that the MMMs exhibited enhanced thermal stabilities. This improvement should be attributed to the inherently good thermal properties of inorganic fillers. Moreover, T5% increased with increasing inorganic filler loading. More heat was absorbed by a greater amount of inorganic fillers in MMM during heating-up, the membrane decomposition was thus delayed and the decomposition temperature was raised. The Tg results are also displayed in Table 1. The Tg of MMM increased gradually with the incorporation of higher inorganic filler content. It should be noted that Tg may be able to provide a qualitative evaluation of polymer chain flexibility in MMM [1], [9], [12]. The MMM with polymer chain rigidification (Case 3) should have a higher Tg than the pure polymer membrane. However, for the PES / TiO2 MMMs and the PES / MMT MMMs at 2 and 4 wt.% loadings, the difference of Tg from the pure PES membrane is ⩽5 °C. The polymer chain rigidification for these MMMs is minor in comparison with the PES / MMT MMMs at 10 and 20 wt.% loadings. The XRD results are depicted in Fig. 2. The PES polymer is amorphous so that the pure PES membrane showed only one XRD peak at 2θ = 18.04^o, which is similar to the literature results [4], [21], [30]. The basal reflection characteristic of the pristine MMT clay was obtained at 2θ = 6.30^o (basal spacing ≈ 14.01 Å), whereas the five characteristic peaks of TiO2 particles are exhibited at 2θ ≈ 25.28^o, 27.42^o, 36.02^o, 48.04^o, and 54.34^o. These results are also close to those reported in the literature [17], [18], [19], [20], [21], [30], [31]. All the MMMs displayed the characteristic peaks induced from the inorganic filler incorporation in addition to the peak of pure PES. The TiO2 peak locations for the PES / TiO2 MMMs were not changed, compared to those of pristine TiO2 particle. The interaction between polymer chains and TiO2 particles should be negligible. However, the MMT peaks of the PES / MMT MMMs were shifted to left slightly, indicating that the layer spacing of MMT filled in MMM (about 15.06-15.49 Å, Table 1) became somewhat wider than the unmingled clay. This phenomenon may be attributed to the intercalation of polymer chain into the interlamellar layer of clay [18]. The morphology and inorganic filler distribution of MMMs were observed by SEM and TEM, and the related images are shown in Fig. 3, Fig. 4. Obviously, inorganic filler particles agglomerated together even at low loading ratios. This phenomenon was similar to those reported in the literature [20], [23], [24], [25], [32]. With the increasing inorganic filler content in MMM, filler particle aggregation became more significant and bigger agglomerates were formed [23], [24]. In order to analyze the MMT agglomerate morphology, the value of average aspect ratio was determined from their TEM images and the results are listed in Table 1. Using the categories defined in Ref. [24] and comparing to their aspect ratio data, only PES / 2% MMT MMM exhibited smaller agglomerates (5-10 sheets tactoids, aspect ratio ≈ 20) in this study. Higher MMT loading ratios led to the formation of middle and micron size agglomerates (aspect ratio ⩽ 10). Big-size agglomerates were also perceived from the SEM photos with large magnification. Moreover, interface voids were observed in the MMMs with high filler loadings (see the SEM photos with large magnification). This phenomenon may be attributed to poor adhesion between hydrophobic PES and hydrophilic inorganic fillers. Interface void morphology was also indicated for the polyetherimide / 1 wt.% raw MMT MMM [25]. "
18,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Characterization of PES/MMT and PES/TiO2 membranes', 'figure']"," TGA curves for MMT, TiO2, pure PES membrane, and MMMs ."
19,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Characterization of PES/MMT and PES/TiO2 membranes', 'figure']"," X-ray diffraction patterns for MMT, TiO2, pure PES membrane, and MMMs ."
20,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Characterization of PES/MMT and PES/TiO2 membranes', 'figure']", SEM photos for pure PES membrane and MMMs .
21,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Characterization of PES/MMT and PES/TiO2 membranes', 'figure']", TEM images for pristine inorganic fillers and MMMs .
22,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Characterization of PES/MMT and PES/TiO2 membranes', 'table']"," Properties of MMT, TiO2, pure PES membrane, PES / MMT MMMs, and PES / TiO2 MMMs ."
23,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Gas permeation performance of PES/MMT and PES/TiO2 MMMs']"," Fig. 5 presents the gas sorption results for the pristine MMT clays and TiO2 particles. It is clearly shown that, for both inorganic fillers, the CO2 uptake was a little bit higher than the CH4 uptake. However, the uptake amounts onto these fillers were very low such that gas sorption effect during the gas permeation through the prepared MMMs may be neglected. In this study, transport of CO2 or CH4 through the PES / inorganic filler MMM was investigated at room temperature by dynamic permeation method. Fig. 6, Fig. 7 illustrate the gas permeability and selectivity results, respectively. The CH4 flux through the pure PES membrane (without inorganic fillers) was very low so that the related measurement was performed only in a narrow p2 interval (0-0.1 bar). The CO2 permeability (1.97 barrer), CH4 permeability (0.08 barrer), and ideal CO2 / CH4 selectivity (24.5) for the pure PES membrane are in good agreement with the literature data [13], [14]. With the addition of MMT clays in MMM, the CO2 permeability increased initially for 2 wt.% loading (7.15 barrer), decreased slightly at 4 wt.% (4.06 barrer), and then increased greatly at higher MMT contents. As for the CH4 permeability, it increased with the increasing MMT loading amount and became even larger than the CO2 permeability when the MMT content was >10 wt.% . Consequently, the CO2 / CH4 selectivity decreased significantly from 24.5 to 0.38 (relative selectivity = 0.016). For 10 and 20 wt.% MMT loadings, the values of CO2 / CH4 selectivity were close to that of Knudsen selectivity (ca. 0.60, inverse to the square root of the diffusant molecular weight [1]). It means that Knudsen transport is the predominant mechanism in these cases. Regarding to the increasing gas permeabilities for the PES / MMT MMMs, it should result from the interface void morphology (Case 2). Similar phenomenon has been revealed in the study using polyetherimide / 1 wt.% raw MMT MMM with a relative CO2 / CH4 selectivity of 0.04 [25]. When the MMT content was added to 10 wt.% or higher, the agglomeration of MMT clays became very serious (as shown in Fig. 3, Fig. 4). It may have caused the formation of pinholes or other defects in the MMM which could not be reached by polymer chains [1]. In such cases, gas permeation would be significantly enhanced and the Knudsen transport became the governing mechanism. Although the polymer chain rigidification (Case 3) may also happen based on the increase of Tg in the PES / 10-20% MMT MMMs, its effect on gas permeation turned out to be unimportant. As discussed in the membrane characterization section, the MMT clays in MMMs formed 5-10 sheets tactoids, middle or micron size agglomerates with enlarged layer spacing. In the literature [24], MMT and their organo-clays are considered as impermeable fillers and the agglomerates usually lead to the enhanced tortuosity effect and barrier property (based on ideal morphology). However, in the current study, the gas permeabilities were increased significantly and the relative selectivity was reduced a lot. It is evident that the void morphology has been created from the MMT agglomerates with poor polymer-MMT adhesion. Similar observable result has been reported in the polymer / raw MMT MMM study [25], too. In Fig. 8, the PES / MMT MMM data are compared to Robeson upper bounds. It is clearly shown that the data point is shifted from upper left to lower right with the increasing MMT content. However, all the PES / MMT MMM data are far from the upper bounds, mainly due to the formation of plenty of interface voids and other defects. Knudsen diffusion is the dominant mechanism for the lowest two points. In the case of PES / TiO2 MMMs, both the CO2 and CH4 permeabilities increased with the increasing TiO2 content, except that a minimum value of CH4 permeability (0.07 barrer) was obtained at PES / 4 wt.% TiO2. It resulted in a different trend for the CO2 / CH4 selectivity compared to the PES / MMT MMMs. In Fig. 7, the relative CO2 / CH4 selectivity for the PES / TiO2 MMMs increased at low TiO2 weight percentages and then decreased with a further increase in TiO2 content. Different from the case of MMT filler, the value of selectivity was still high even for high TiO2 loading (17.3 for 20 wt.% ). It should be noted that the results for 6 wt.% TiO2 loading are also included in Fig. 6, Fig. 7 in order to more clearly elucidate the filler loading effect on gas permeabilities and selectivity. Based on the above gas permeation performance, the interface morphology for the PES / TiO2 MMMs may be divided into: Case 1 (ideal morphology) for ⩽8 wt.% loading and Case 2 (interface voids) for >8 wt.% loading. At 2 wt.% TiO2 incorporation, there existed a fair attachment of polymer on the nonporous TiO2 particle surface such that the gas permeabilities and selectivity of the MMM were almost identical to the results of the pure polymer membrane. Interpreted from the gas permeability variation in Fig. 6, interactions of CO2 with TiO2 particles were stronger than CH4-TiO2 interactions when 4-6 wt.% TiO2 was filled in the MMM. Similar trend has been reported in the literature using the poly(amide-imide) / TiO2 (7.3% ) MMM [15], [26], as well as shown in the gas sorption plot (Fig. 5). Subsequently, the CO2 / CH4 selectivity for these MMMs was larger than that of pure PES membrane and the relative selectivity value was up to 1.5 (Fig. 7). When further increasing the TiO2 content, particle aggregation became more significant and the interface voids were created by the detachment of polymer chains (more hydrophobic) from the particle surface (hydrophilic), resulting in higher gas permeabilities and lower selectivity. On the other hand, in comparison with the layer structure of MMT clay, less voids or defects were produced by the incorporation of nonporous spherical TiO2 nanoparticles. Thus, the CO2 / CH4 selectivity for the PES / high TiO2 wt.% MMMs was not reduced dramatically. Their selectivity remained at an acceptable value. The PES / TiO2 MMM results plus the data from the Matrimid5218 / TiO2 MMM literature [23] are compared to Robeson upper bounds in Fig. 8. Our data points are located in a range nearby the literature results, but they are not close to the Robeson upper bounds. The highest CO2 / CH4 selectivity in the present work (38.5) is obtained from the PES / 4 wt.% TiO2 MMM, with CO2 permeability of 2.61 barrer and CH4 permeability of 0.07 barrer. In the study using the Matrimid5218 / TiO2 MMM for gas permeation [23], Moghadam et al. found that the CO2 / CH4 selectivity decreased from 20.5 (0 vol.% TiO2) to about 7 (25 vol.% TiO2) while the CO2 and CH4 permeabilities increased from 4.3 to 12 barrer and from 0.21 to 1.84 barrer, respectively. In comparison with their results, our PES / 4 wt.% TiO2 MMM exhibited a higher CO2 / CH4 selectivity but lower gas permeabilities. However, the performance of PES / 20 wt.% TiO2 MMM (selectivity of 17.3, CO2 permeability of 5.67 barrer, and CH4 permeability of 0.33 barrer) is close to theirs. "
24,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Gas permeation performance of PES/MMT and PES/TiO2 MMMs', 'figure']", Gas sorption results for pristine inorganic fillers at 25 °C .
25,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Gas permeation performance of PES/MMT and PES/TiO2 MMMs', 'figure']", Gas permeability results for pure PES membrane and MMMs .
26,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Gas permeation performance of PES/MMT and PES/TiO2 MMMs', 'figure']", Relative CO2 / CH4 selectivity results for MMMs .
27,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,"['Results and discussion', 'Gas permeation performance of PES/MMT and PES/TiO2 MMMs', 'figure']", Performance of MMMs compared to the Robeson upper bounds .
28,A comparison on gas separation between PES (polyethersulfone) MMT (Na-montmorillonite) and PES TiO2 mixed matrix membranes.xml,['Conclusions']," PES / MMT and PES / TiO2 MMMs at various filler weight fractions were prepared and used for gas transport in this study. SEM and TEM images revealed the inorganic filler agglomeration in MMMs. The agglomerate size became bigger at higher filler content, and interface voids between filler and polymer were formed. For the PES / MMT MMMs, both the CO2 and CH4 permeabilities were greatly raised with the increasing MMT content. This phenomenon should be attributed to the big gas transport path created by the interface voids and other defects. Accordingly, the gas selectivity was very low and far from the Robeson upper bounds. Especially when the incorporated MMT content was ⩾10 wt.% , Knudsen diffusion became the predominant gas transport mechanism such that CO2 and CH4 could hardly be separated. A different trend was achieved in the case of PES / TiO2 MMMs. Their CO2 / CH4 selectivity increased at lower TiO2 contents and then decreased with a further increase in TiO2 amount. The relative gas selectivity values for the MMMs with ⩽8 wt.% TiO2 were greater than 1 and could rise up to 1.5 (4 wt.% TiO2), implying the occurrence of ideal interface morphology with stronger TiO2-CO2 interactions. Based on identical incorporation amount, the MMMs filled with 70 nm spherical TiO2 particles accomplished better gas separation performances than those filled with lamellar MMT sheets of mean length = 500 nm. Even for the inclusion of 20 wt.% filler, the use of nonporous TiO2 nanoparticles created less voids and defects on the MMM such that its CO2 / CH4 selectivity (17.3) is still satisfactory. To improve the PES / MMT MMM performance, middle and micron size agglomerates as well as interface voids should be avoided. Several methods suggested in the literature may be helpful for preparing the MMMs with more uniform MMT distribution and less aggregation and defects: sonication method for a better inorganic filler distribution in solution [23], [25], [33], filler surface modification for enhanced interactions with polymer [15], employment of organo-MMT clays [24], [25], melt processing in membrane preparation [15], [24], etc. "
29,A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['abstract']," A method involving the flow of O2 and N2 gasses from the two sides of an edible film coupled with a simple wet chemical analysis at the end, was developed to measure the oxygen permeability of edible films. The proposed method was employed to determine the oxygen permeability of methyl cellulose (MC)-based edible films of various composition with the aim of finding the optimum composition for minimising oxidative degradation of foods. The effects of the presence of stearic acid (SA), ascorbic acid (AA) and citric acid (CA), in varying amounts in the film composition, on the oxygen permeability (OP) of MC based edible films were examined. The OP increased with increasing SA content of the film and decreased with the inclusion of AA or CA in the film composition. The films, with various compositions and with the measured oxygen permeabilities, were then applied to mushrooms (Agaricus bisporus) and cauliflower (Brassica botrytis). It was found, from the analysis of these coated foods, that the coatings containing antioxidants slowed the browning reactions and reduced the vitamin C loss in both foods, the effects being greater in cauliflower. Moreover, the moisture loss of coated foods was less than that of uncoated. "
30,A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['abstract', 'keywords']",Edible film. 
31,A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['abstract', 'keywords']",Oxygen permeability. 
32,A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['abstract', 'keywords']",Vitamin C. 
33,A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['abstract', 'keywords']",Enzyme activity. 
34,A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,"['abstract', 'keywords']",Oxidative reactions. 
35,A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods.xml,['Introduction']," The development of edible films to reduce the moisture transfer, the oxidation or the respiration in food systems is important to prolong the shelf-lives of foods. The measurements of permeabilities of stand-alone films to water vapour, oxygen and carbon dioxide are important tools for the development of edible films. Oxygen is involved in many degradation reactions in foods, such as fat and oil rancidity, micro-organism growth, enzymatic browning and vitamin loss. Thus, many packaging strategies seek to exclude oxygen to protect the food product (Gontard, Thibault, Cuq, & Guilbert, 1996). On the other hand, the permeability to oxygen and carbon dioxide is essential for respiration in living tissues such as fresh fruits and vegetables. So, moderate barrier coatings are more appropriate. If a coating with the appropriate permeability is chosen, a controlled respiratory exchange can be established and thus the preservation of fresh fruits and vegetables can be prolonged. The main characteristics to consider in the selection of coating materials are their oxygen, carbon dioxide and water vapour permeabilities. The water vapour permeability (WVP) is the most extensively studied property of edible films (Ayranci et al., 1997, Ayranci and Cetin, 1995, Gontard et al., 1995, Kamper and Fennema, 1984, McHugh et al., 1994) mainly because of the importance of the role of water in deteriorative reactions and partly because the ease of measurement. The correlation between moisture sorption isotherm and WVP of cellulose-based edible films was also sought (Ayranci, 1996). The measurement of oxygen and carbon dioxide permeabilities requires instruments which may not be easily available. Measurements are mostly based on the standard method described in ASTM (1988) for oxygen gas transmission through films. These methods involve a flowing an oxygen gas stream on one side of the film and a nitrogen stream, to carry the transmitted oxygen gas to the analyzer, on the other side. A coulometric sensor, an infrared sensor, a gas chromatograph or a dedicated oxygen analyser may be used for monitoring. Park, Weller, Wergano, and Testin (1993) measured the oxygen permeabilities of methyl cellulose (MC) and hydroxypropyl methyl cellulose (HPC)-based edible films by the OX-TRAN 1000 system, operated according to the ASTM (1988) standard method. They found that the oxygen permeability (OP) of the films increased with the molecular weight of MC and HPC. In another work by Gennadios, Weller, and Testin (1993), the OP of corn zein, wheat gluten and wheat gluten / soy protein isolate films was measured at 7, 15, 25 and 35 °C by a method again based on ASTM (1988). The OP of all films was found to increase with temperature. It was also noted that the OP values of wheat gluten / soy protein isolate films were lower than those of other films. The degree of resistance of various lipid films to the oxygen transmission was measured with the aim of determining the influences of polymorphic forms of the lipid and of tempering, using the method of ASTM by Kester and Fennema, 1989a, Kester and Fennema, 1989b, Kester and Fennema, 1989c. Greener and Fennema (1989) reported oxygen permeabilities of bilayer films prepared from methyl cellulose and beeswax measured by the same method. Another work on the oxygen transmission of a methyl cellulose-palmitic acid film was reported by Rico-Pena and Torres (1990). In a recent work from our laboratory, a simple method was proposed for the measurement of CO2 permeability (Ayranci, Tunc, & Etci, 1999) and applied successfully to various cellulose-based edible films (Ayranci & Tunc, 2001). In the present work, we introduce a method to measure the OP of edible films. The proposed method was applied to measure the OP of films of various composition with the aim of finding the optimum composition to minimise oxidative degradation of foods. Application of film solutions to fresh foods, such as mushrooms and cauliflower, and analysis of these foods for oxidative degradation, are also investigated. "
