,Relation,Result_Argument,Arguments,Table,Caption,Segment,Document
15,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['4', 'One'], 'Coating no.'], 'Component_qty_value': [['0.6', 'Gram'], 'SA (g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
16,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'PackNumber': [['4', 'One'], 'Coating no.'], 'Component_qty_value': [['0.5', 'Gram'], 'Antioxidant CA(g)'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 1,Table 1 . Compositions of the coating solutions applied to mushrooms and cauliflower,"['Materials and methods', 'Coating procedure']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
17,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'Component_qty_value': [['0.0', 'Gram'], 'SA content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
18,O2 Permeability_Relation,"{'O2 Permeability': [['6.8±0.4 10^9', '1E9 Gram by reciprocal day by reciprocal pascal by reciprocal meter'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.86±0.00 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
19,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'Component_qty_value': [['5.0', 'Gram'], 'SA content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
20,O2 Permeability_Relation,"{'O2 Permeability': [['5.2±0.2 10^9', '1E9 Gram by reciprocal day by reciprocal pascal by reciprocal meter'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.93±0.03 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
21,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'Component_qty_value': [['15', 'Gram'], 'SA content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
22,O2 Permeability_Relation,"{'O2 Permeability': [['7.7±0.9 10^9', '1E9 Gram by reciprocal day by reciprocal pascal by reciprocal meter'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['2.10±0.01 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
23,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'Component_qty_value': [['25', 'Gram'], 'SA content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
24,O2 Permeability_Relation,"{'O2 Permeability': [['8.6±0.3 10^9', '1E9 Gram by reciprocal day by reciprocal pascal by reciprocal meter'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.88±0.04 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
25,Impact_factor_component_relation,"{'Impact_factor_component': ['', '']}","{'Component_qty_value': [['40', 'Gram'], 'SA content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
26,O2 Permeability_Relation,"{'O2 Permeability': [['14±1 10^9', '1E9 Gram by reciprocal day by reciprocal pascal by reciprocal meter'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['2.00±0.00 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 2,"Table 2 . The SA content, the thickness and the OP values of edible films at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
27,Impact_factor_component_relation,"{'Impact_factor_component': [['AA', ''], 'Antioxidant']}","{'Component_qty_value': [['0.33', 'Gram'], 'Antioxidant content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
28,O2 Permeability_Relation,"{'O2 Permeability': [['8.3±0.2 10^9', 'Gram by reciprocal meter by reciprocal day by reciprocal Pascal'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.9±0.2 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
29,Impact_factor_component_relation,"{'Impact_factor_component': [['AA', ''], 'Antioxidant']}","{'Component_qty_value': [['1.67', 'Gram'], 'Antioxidant content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
30,O2 Permeability_Relation,"{'O2 Permeability': [['6.5±0.1 10^9', 'Gram by reciprocal meter by reciprocal day by reciprocal Pascal'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.87±0.03 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
31,Impact_factor_component_relation,"{'Impact_factor_component': [['AA', ''], 'Antioxidant']}","{'Component_qty_value': [['3.33', 'Gram'], 'Antioxidant content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
32,O2 Permeability_Relation,"{'O2 Permeability': [['5.8±0.2 10^9', 'Gram by reciprocal meter by reciprocal day by reciprocal Pascal'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.8±0.0 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
33,Impact_factor_component_relation,"{'Impact_factor_component': [['AA', ''], 'Antioxidant']}","{'Component_qty_value': [['16.67', 'Gram'], 'Antioxidant content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
34,O2 Permeability_Relation,"{'O2 Permeability': [['4.5±0.2 10^9', 'Gram by reciprocal meter by reciprocal day by reciprocal Pascal'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.80±0.02 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
35,Impact_factor_component_relation,"{'Impact_factor_component': [['CA', ''], 'Antioxidant']}","{'Component_qty_value': [['0.33', 'Gram'], 'Antioxidant content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
36,O2 Permeability_Relation,"{'O2 Permeability': [['6.4±0.3 10^9', 'Gram by reciprocal meter by reciprocal day by reciprocal Pascal'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.68±0.0 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
37,Impact_factor_component_relation,"{'Impact_factor_component': [['CA', ''], 'Antioxidant']}","{'Component_qty_value': [['1.67', 'Gram'], 'Antioxidant content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
38,O2 Permeability_Relation,"{'O2 Permeability': [['5.39±0.03 10^9', 'Gram by reciprocal meter by reciprocal day by reciprocal Pascal'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.57±0.03 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
39,Impact_factor_component_relation,"{'Impact_factor_component': [['CA', ''], 'Antioxidant']}","{'Component_qty_value': [['3.33', 'Gram'], 'Antioxidant content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
40,O2 Permeability_Relation,"{'O2 Permeability': [['3.9±0.2 10^9', 'Gram by reciprocal meter by reciprocal day by reciprocal Pascal'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.49±0.01 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
41,Impact_factor_component_relation,"{'Impact_factor_component': [['CA', ''], 'Antioxidant']}","{'Component_qty_value': [['16.67', 'Gram'], 'Antioxidant content g (100 g MC) −1'], 'packnumber': ['', ''], 'packaging': ['', ''], 'component_qty_value': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
42,O2 Permeability_Relation,"{'O2 Permeability': [['4.7±0.2 10^9', 'Gram by reciprocal meter by reciprocal day by reciprocal Pascal'], 'OP 10 9 g d −1 Pa −1 m −1']}","{'Thickness': [['1.62±0.02 10^5', 'Meter'], 'Thickness 10 5 m'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,"Table 3 . The antioxidant content, the thickness and the OP values of edible films containing 20 g SA/100 g MC at 25 °C and 0% RH","['Results and discussion', 'The effect of antioxidants on the OP of edible films containing SA']",A method for the measurement of the oxygen permeability and the development of edible films to reduce the rate of oxidative reactions in fresh foods
43,O2 Permeability_Relation,"{'O2 Permeability': [['9.9', 'Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day'], 'Permeability O 2 a (cc/m 2 \xa0d) 23°C – 75% RH']}","{'Packaging': [['Natureflex™ N913 (cellulose-based)', ''], 'Film'], 'Thickness': [['55', 'Micrometer'], 'Thickness a (μm)'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,Table 3 . Main characteristics multilayered biobased films.,['Main characteristics of different bioplastics'],Application of bioplastics for food packaging
44,H2O Permeability_Relation,"{'H2O Permeability': [['10.1', 'Gram By Reciprocal Square Meter By Reciprocal Day'], 'Permeability H 2 O a (g/m 2 \xa0d) 38°C – 90% RH']}","{'Packaging': [['Natureflex™ N913 (cellulose-based)', ''], 'Film'], 'Thickness': [['55', 'Micrometer'], 'Thickness a (μm)'], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'thickness': ['', ''], 'packaging': ['', ''], 'partial_pressure': ['', ''], 'number_of_repetitions': ['', ''], 'method': ['', '']}",Table 3,Table 3 . Main characteristics multilayered biobased films.,['Main characteristics of different bioplastics'],Application of bioplastics for food packaging
45,O2 Permeability_Relation,"{'O2 Permeability': [['3.4', 'Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day'], 'Permeability O 2 a (cc/m 2 \xa0d) 23°C – 75% RH']}","{'Packaging': [['Natureflex™ N931 (cellulose-based)', ''], 'Film'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,Table 3 . Main characteristics multilayered biobased films.,['Main characteristics of different bioplastics'],Application of bioplastics for food packaging
46,H2O Permeability_Relation,"{'H2O Permeability': [['5.0', 'Gram By Reciprocal Square Meter By Reciprocal Day'], 'Permeability H 2 O a (g/m 2 \xa0d) 38°C – 90% RH']}","{'Packaging': [['Natureflex™ N931 (cellulose-based)', ''], 'Film'], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'thickness': ['', ''], 'packaging': ['', ''], 'partial_pressure': ['', ''], 'number_of_repetitions': ['', ''], 'method': ['', '']}",Table 3,Table 3 . Main characteristics multilayered biobased films.,['Main characteristics of different bioplastics'],Application of bioplastics for food packaging
47,O2 Permeability_Relation,"{'O2 Permeability': [['815.0', 'Cubic Centimeter By Reciprocal Square Meter By Reciprocal Day'], 'Permeability O 2 a (cc/m 2 \xa0d) 23°C – 75% RH']}","{'Packaging': [['Ecoflex\xa0+\xa0Ecovio/Ecovio/Ecoflex\xa0+\xa0Ecovio', ''], 'Film'], 'method': ['', ''], 'number_of_repetitions': ['', ''], 'temperature': ['', ''], 'relative_humidity': ['', ''], 'partial_pressure_difference': ['', ''], 'packaging': ['', ''], 'thickness': ['', ''], 'partial_pressure': ['', '']}",Table 3,Table 3 . Main characteristics multilayered biobased films.,['Main characteristics of different bioplastics'],Application of bioplastics for food packaging
